start_station_name,start_station_id,start_lat,start_lng,total_trips,avg_trip_duration,member_trips,casual_trips,weekend_trips,weekday_trips,lunch_hour_trips,morning_trips,evening_trips,lunch_hour_share,weekend_share,total_trips_score,lunch_trips_score,lunch_share_score,weekday_score,casual_score,food_cart_score
Central Park S & 6 Ave,6876.04,40.76590936,-73.97634151,5515,24.45965821093986,2720,2795,1627,3888,1706,716,1693,0.3093381686310063,0.29501359927470533,0.4944857885770645,0.6372805379155771,0.6007436898051427,0.47911275415896487,1.0,0.6025665552270253
6 Ave & W 33 St,6364.07,40.74901271,-73.98848395,8274,11.049794682136813,7191,1083,1746,6528,1364,1687,2664,0.1648537587623882,0.21102248005801305,0.7418631758271317,0.5095255883451625,0.320150777886377,0.8044362292051755,0.38747763864042933,0.5954498373713055
Cleveland Pl & Spring St,5492.05,40.722103786686034,-73.99724900722504,7398,11.535533714066865,6340,1058,2274,5124,1653,930,2706,0.22343876723438766,0.3073803730738037,0.6633192862906842,0.6174822562570041,0.43392456245518757,0.6314232902033272,0.37853309481216457,0.5894790350300232
E 33 St & 1 Ave,6197.08,40.74322681432173,-73.97449783980846,7607,10.233383920511809,6933,674,1806,5801,1495,2149,2039,0.19652951229131063,0.23741290916261337,0.6820586389312293,0.558460963765409,0.38166600937732786,0.714849044978435,0.2411449016100179,0.5712268971451221
Broadway & E 21 St,6098.10,40.73988840858996,-73.98958593606949,7180,10.143612711234912,6379,801,1877,5303,1582,1039,2547,0.2203342618384401,0.2614206128133705,0.6437729758809289,0.5909600298841987,0.4278955229905938,0.6534812076401725,0.2865831842576029,0.5699233666825558
11 Ave & W 41 St,6726.01,40.76030096,-73.99884222,7528,10.860283413035777,6690,838,2239,5289,1531,1617,2314,0.2033740701381509,0.297422954303932,0.6749753429570519,0.5719088531938737,0.39495833910887274,0.6517560073937153,0.2998211091234347,0.5687410806590926
W 43 St & 10 Ave,6756.01,40.76009437,-73.99461843,7369,10.741003804224906,6697,672,2003,5366,1538,1869,1938,0.20871217261500882,0.27181435744334376,0.6607190890343405,0.5745237205827419,0.40532508884653884,0.6612446087492299,0.24042933810375672,0.5630874389074204
1 Ave & E 68 St,6822.09,40.76500525,-73.95818491,7461,13.280229613992763,6888,573,1283,6178,1422,1536,2476,0.19059107358262967,0.17196086315507306,0.6689679906751547,0.5311916324243556,0.3701333892764112,0.7613062230437462,0.20500894454382826,0.5629345470080863
Lafayette St & Jersey St,5561.06,40.72456089,-73.99565293,7042,11.146990670264131,6140,902,2083,4959,1579,981,2540,0.224226072138597,0.29579664867935246,0.6313996234197077,0.5898393724318267,0.43545353139959414,0.611090573012939,0.3227191413237925,0.5623290680809928
Greenwich Ave & 8 Ave,6072.06,40.7390169121,-74.0026376103,7268,9.28029079068061,6486,782,2288,4980,1562,1417,2248,0.21491469455145845,0.3148046230049532,0.6516632296243163,0.5834889802017184,0.41737056623036856,0.6136783733826248,0.27978533094812164,0.5595882148710545
W 24 St & 7 Ave,6257.03,40.74487634,-73.99529885,6827,9.651078348225184,6151,676,1786,5041,1565,1270,2289,0.22923685366925442,0.2616083199062546,0.6121222989330225,0.5846096376540904,0.4451846143721752,0.6211953173136168,0.24186046511627907,0.550587519323756
Carmine St & 6 Ave,5763.03,40.73038599,-74.00214988,6905,10.60781639633116,5913,992,2357,4548,1474,1287,1956,0.21346850108616944,0.34134685010861693,0.6191159329328432,0.5506163615988047,0.4145620166021261,0.5604436229205175,0.3549194991055456,0.5365315859476631
W 30 St & 10 Ave,6459.07,40.752694,-74.002353,6883,12.040172398179088,6030,853,1600,5283,1358,1587,2287,0.19729768996077293,0.23245677756792096,0.6171433694969963,0.5072842734404184,0.3831578326774431,0.6510166358595194,0.30518783542039357,0.5308732320600831
N 6 St & Bedford Ave,5379.10,40.71745169,-73.95850939,6824,9.512118190699493,5916,908,2337,4487,1453,1016,2314,0.21292497069167643,0.3424677608440797,0.6118533130099525,0.5427717594322002,0.4135064648215165,0.5529266789895255,0.324865831842576,0.5273560095180726
S 2 St & Kent Ave,5276.04,40.714731,-73.966612,6540,11.20006382008155,5739,801,1772,4768,1431,1537,2272,0.21880733944954128,0.2709480122324159,0.5863893122926567,0.5345536047814718,0.4249301954527323,0.5875539125077018,0.2865831842576029,0.5223532102192532
Washington St & Gansevoort St,6039.06,40.739323,-74.008119,6401,11.962252424100402,5225,1176,1968,4433,1411,1055,2170,0.22043430713950946,0.3074519606311514,0.5739262978570788,0.5270825550989914,0.4280898138651343,0.5462723351817622,0.42075134168157424,0.5220990513399401
W 15 St & 6 Ave,5989.02,40.738046142482766,-73.99642959237099,6400,9.460748106770833,5770,630,1711,4689,1469,1518,1834,0.22953125,0.26734375,0.5738366358827222,0.5487485991781845,0.4457563405797101,0.577818853974122,0.22540250447227192,0.5182008239830678
Central Park S & Grand Army Plaza,6839.15,40.764555,-73.973473,4716,22.244930262227875,2775,1941,1313,3403,1502,581,1323,0.318490245971162,0.2784139100932994,0.4228458710660809,0.5610758311542772,0.6185172892773291,0.4193468884781269,0.6944543828264759,0.5172545535765232
8 Ave & W 31 St,6450.05,40.7505853470215,-73.9946848154068,7179,11.877291103682037,6199,980,1487,5692,1140,1693,2217,0.15879648976180527,0.20713191252263546,0.6436833139065722,0.42584983190138215,0.3083873859142305,0.7014171287738755,0.35062611806797855,0.5161530457951228
8 Ave & W 38 St,6526.05,40.75461,-73.99177,6446,11.151138840624677,5522,924,1477,4969,1342,1336,1943,0.20819112627986347,0.22913434688178716,0.5779610867031292,0.5013074336944341,0.40431320176089425,0.6123228589032655,0.33059033989266545,0.5159027994148433
E 10 St & Ave A,5659.05,40.72740794,-73.98142006,6072,10.172652591128678,5214,858,1961,4111,1504,1451,1478,0.24769433465085638,0.3229578392621871,0.5444275082937327,0.5618229361225252,0.481029577437895,0.5065927295132471,0.30697674418604654,0.5128640827813605
Metropolitan Ave & Bedford Ave,5308.04,40.71534825,-73.96024116,6404,11.259994224963565,5466,938,2210,4194,1425,1003,2176,0.22251717676452218,0.34509681449094315,0.5741952837801488,0.5323122898767276,0.43213480704994156,0.5168207024029575,0.33559928443649373,0.5099956720311268
8 Ave & W 49 St,6747.07,40.76171227910671,-73.98655101656914,6709,10.6718280990709,5922,787,1567,5142,1267,1665,1870,0.18885079743627964,0.23356685049932926,0.6015421859589348,0.4732909973851326,0.3667537225574126,0.633641404805915,0.2815742397137746,0.5075984727628318
W 41 St & 8 Ave,6602.03,40.75640548,-73.9900262,6839,11.565464395379442,5988,851,1172,5667,1153,1143,1797,0.16859189940049715,0.17137008334551834,0.6131982426253026,0.4307060141949944,0.3274103553574872,0.6983364140480591,0.3044722719141324,0.5069022111613475
Park Ave & E 42 St,6432.09,40.751873,-73.977706,7411,11.274650107947645,6430,981,1049,6362,941,2031,2522,0.12697341789232222,0.14154635002024019,0.6644848919573209,0.35151288756070226,0.24658605793581415,0.7839802834257548,0.3509838998211091,0.5057037860964193
Broadway & W 29 St,6289.06,40.7462009,-73.98855723,6506,10.821648119684394,5702,804,1431,5075,1260,1178,2389,0.1936673839532739,0.2199508146326468,0.5833408051645297,0.47067612999626446,0.37610767318461885,0.625385089340727,0.2876565295169946,0.5020252849281317
12 Ave & W 40 St,6765.01,40.76087502,-74.00277668,6018,16.551078046416308,4456,1562,1609,4409,1236,1533,1968,0.2053838484546361,0.2673645729478232,0.5395857616784722,0.46171087037728803,0.3988613868539309,0.5433148490449784,0.5588550983899822,0.5009298633850559
8 Ave & W 16 St,6072.11,40.740983,-74.001702,6341,8.94665943594596,5858,483,1411,4930,1352,1446,1839,0.21321558113862166,0.2225201072386059,0.5685465793956783,0.5050429585356743,0.41407083873297534,0.607516943930992,0.17280858676207514,0.49909301167210895
Grand St & Elizabeth St,5382.06,40.718822,-73.99596,5999,11.283348733122187,5396,603,1828,4171,1466,917,1947,0.24437406234372394,0.30471745290881813,0.5378821841656953,0.5476279417258125,0.47458151237766677,0.5139864448552064,0.21574239713774598,0.4979700055680408
Canal St & Rutgers St,5303.08,40.71427487,-73.98990025,6162,10.886350746510873,5323,839,2054,4108,1376,991,1808,0.22330412203829925,0.3333333333333333,0.5524970859858334,0.5140082181546507,0.4336630775816246,0.5062230437461491,0.3001788908765653,0.49265595344563484
Kent Ave & N 3 St,5348.06,40.71797940978296,-73.96427449047715,5738,11.281644129778087,5011,727,2098,3640,1494,968,2064,0.2603694667131405,0.3656326246078773,0.514480408858603,0.558087411281285,0.505645051297983,0.4485520640788663,0.2601073345259392,0.490236347561266
E 1 St & 1 Ave,5593.01,40.72335597960796,-73.98864984512329,6336,9.307376683501683,5473,863,2157,4179,1324,1251,1722,0.20896464646464646,0.3404356060606061,0.5680982695238949,0.4945834889802017,0.40581540038061775,0.5149722735674677,0.30876565295169944,0.48958134857076957
Columbus Ave & W 72 St,7175.05,40.7770575,-73.97898475,6051,12.479241053820305,5350,701,1854,4197,1381,1537,1580,0.22822673938192034,0.30639563708477935,0.5425446068322425,0.5158759805752708,0.44322294314749744,0.5171903881700555,0.25080500894454383,0.48903361775262066
Hanson Pl & Ashland Pl,4395.07,40.68506807308177,-73.97790759801863,6064,10.329985543095868,5112,952,1697,4367,1284,1211,1824,0.2117414248021108,0.2798482849604222,0.5437102124988792,0.47964138961524094,0.4112079843983021,0.5381392483056069,0.340608228980322,0.4866115104890379
1 Ave & E 62 St,6753.08,40.7612274,-73.96094022,6078,11.903232902818909,5490,588,1752,4326,1333,1118,2020,0.21931556433037183,0.2882527147087858,0.5449654801398727,0.4979454613373179,0.4259171829024612,0.5330868761552681,0.21037567084078712,0.48076894210840787
5 Ave & E 72 St,7100.07,40.77282817,-73.96685276,4661,18.52161792533791,3009,1652,1453,3208,1374,600,1409,0.29478652649646,0.31173567903883287,0.41791446247646374,0.5132611131864027,0.5724839789931251,0.3953173136167591,0.5910554561717353,0.47953741147419476
W 4 St & 7 Ave S,5880.02,40.73401143,-74.00293877,6193,10.807209731417192,5302,891,2152,4041,1275,1113,1798,0.20587760374616504,0.34748910059744875,0.5552766071908903,0.4762794172581248,0.39982027394182773,0.49796672828096117,0.318783542039356,0.4769706750923769
E 14 St & 1 Ave,5779.10,40.73139303364151,-73.98286700248718,5829,9.41287253674158,5138,691,1906,3923,1296,1238,1473,0.22233659289758106,0.32698576085091785,0.5226396485250605,0.48412401942472916,0.43178410794602695,0.48342575477510785,0.24722719141323793,0.4646895998208684
Bleecker St & Crosby St,5679.08,40.72615604980408,-73.99510189890862,5768,10.675745711974109,5114,654,1537,4231,1262,891,1966,0.21879334257975036,0.26647018030513175,0.5171702680893033,0.4714232349645125,0.42490301312589196,0.5213801601971657,0.2339892665474061,0.46445595926666816
Christopher St & Greenwich St,5847.01,40.73291553,-74.00711384,6103,10.71587093505926,5304,799,1774,4329,1182,1759,1554,0.1936752416844175,0.29067671636899883,0.5472070294987895,0.44153903623459095,0.37612293312626005,0.533456561922366,0.2858676207513417,0.4642307878290376
Clinton St & Grand St,5303.06,40.71559509,-73.9870295,5746,9.543277984684998,5343,403,1770,3976,1338,1101,1804,0.2328576400974591,0.30804037591367905,0.5151977046534565,0.49981322375793796,0.45221628656607993,0.4899568699938386,0.14418604651162792,0.46136566178518096
E 32 St & Park Ave,6280.12,40.7457121,-73.98194829,5528,9.138455767607333,5001,527,942,4586,1239,1803,1218,0.2241316931982634,0.17040520984081042,0.49565139424370125,0.4628315278296601,0.43527024476184484,0.5651263093037585,0.1885509838998211,0.46131126802822464
N 7 St & Driggs Ave,5340.01,40.716967,-73.956388,7030,9.283880633001422,6191,839,2236,4794,980,968,2706,0.13940256045519203,0.31806543385490754,0.6303236797274276,0.366081434441539,0.27072381305790916,0.5907578558225508,0.3001788908765653,0.4609512635443532
1 Ave & E 38 St,6230.02,40.746202,-73.971822,5885,10.678408028887,5340,545,1299,4586,1195,1613,1598,0.20305862361937127,0.22073067119796091,0.5276607190890343,0.4463952185282032,0.3943457328260253,0.5651263093037585,0.19499105545617174,0.46011244694610104
